"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.380987392E2,6.500505764E1,2.547439754E1,8.230105605E0,1.240000010E0,1.770000076E1,6.445148945E0,4.887342930E0
1.390994793E2,6.500507034E1,2.547439264E1,8.716733817E0,8.999999762E-1,1.970000076E1,6.084924221E0,4.685592175E0
1.400987645E2,6.500508753E1,2.547436802E1,8.702199406E0,1.220000029E0,3.557999878E2,5.925180912E0,4.865586281E0
1.410987554E2,6.500510833E1,2.547433841E1,6.689677476E0,1.490000010E0,2.779999924E1,4.463006973E0,4.440007687E0
1.420986687E2,6.500512122E1,2.547429946E1,6.103122273E0,4.799999893E-1,4.890000153E1,4.005228519E0,4.209527969E0
1.430994793E2,6.500513579E1,2.547428450E1,7.406277454E0,1.379999995E0,4.420000076E1,3.790092468E0,3.967636824E0
1.440995480E2,6.500515184E1,2.547428157E1,7.478109611E0,1.480000019E0,4.220000076E1,3.790092468E0,3.425645828E0
1.450988632E2,6.500516782E1,2.547429045E1,7.073196949E0,1.570000052E0,3.940000153E1,3.790092468E0,3.195532084E0
1.460989773E2,6.500518339E1,2.547429956E1,7.171702425E0,1.490000010E0,3.700000000E1,3.790092468E0,3.057089567E0
1.470992685E2,6.500519780E1,2.547430993E1,7.166692794E0,1.470000029E0,3.529999924E1,3.790092468E0,2.771235704E0
1.480992467E2,6.500521063E1,2.547431974E1,6.609742802E0,1.419999957E0,3.490000153E1,3.790092468E0,2.520768404E0
1.490994739E2,6.500522256E1,2.547433350E1,6.358945748E0,1.440000057E0,3.740000153E1,3.790092468E0,2.500000000E0
1.500993454E2,6.500523401E1,2.547434910E1,5.672113837E0,1.440000057E0,3.940000153E1,3.790092468E0,2.500000000E0
1.510992548E2,6.500524522E1,2.547436754E1,5.858634250E0,1.360000014E0,4.140000153E1,3.790092468E0,2.500000000E0
1.520991553E2,6.500525545E1,2.547438856E1,6.054493576E0,1.259999990E0,4.200000000E1,3.790092468E0,2.500000000E0
1.530994565E2,6.500526664E1,2.547440921E1,6.486924785E0,1.350000024E0,3.929999924E1,3.790092468E0,2.500000000E0
1.540994859E2,6.500527793E1,2.547443187E1,6.448408820E0,1.409999967E0,3.609999847E1,3.790092468E0,2.500000000E0
1.550993891E2,6.500528916E1,2.547445224E1,6.392680816E0,1.419999957E0,3.690000153E1,3.790092468E0,2.500000000E0
1.560994409E2,6.500529919E1,2.547447220E1,6.593239858E0,1.379999995E0,3.640000153E1,3.790092468E0,2.500000000E0
1.570991922E2,6.500530931E1,2.547449172E1,6.617163096E0,1.399999976E0,3.750000000E1,3.790092468E0,2.500000000E0
1.580992553E2,6.500531897E1,2.547451041E1,6.443759794E0,1.409999967E0,3.540000153E1,3.790092468E0,2.500000000E0
1.590994904E2,6.500532897E1,2.547452803E1,6.087128756E0,1.409999967E0,3.259999847E1,3.790092468E0,2.500000000E0
1.600995016E2,6.500533970E1,2.547454515E1,6.071744971E0,1.350000024E0,3.200000000E1,3.790092468E0,2.500000000E0
1.610987787E2,6.500535115E1,2.547456242E1,6.317591393E0,1.490000010E0,2.910000038E1,3.790092468E0,2.500000000E0
1.620987666E2,6.500536211E1,2.547457908E1,6.280112766E0,1.429999948E0,2.900000000E1,3.790092468E0,2.500000000E0
1.630985303E2,6.500537263E1,2.547459797E1,6.173786791E0,1.370000005E0,3.470000076E1,3.790092468E0,2.500000000E0
1.640989991E2,6.500538267E1,2.547461861E1,6.473466970E0,1.450000048E0,3.609999847E1,3.790092468E0,2.500000000E0
1.650994949E2,6.500539211E1,2.547463734E1,6.481155064E0,1.350000024E0,3.409999847E1,3.790092468E0,2.500000000E0
